,head,tail,combined
1A1P4,CCCCOP1(=O)OCCO1,CCCCN,CCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P5,CCCCCOP1(=O)OCCO1,CCCCN,CCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P6,CCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P7,CCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P8,CCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P9,CCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P10,CCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P11,CCCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P12,CCCCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P13,CCCCCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
1A1P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,CCCCN,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCC)
2A1P4,CCCCOP1(=O)OCCO1,CCCCCCN,CCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P5,CCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P6,CCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P7,CCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P8,CCCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P9,CCCCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P10,CCCCCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P11,CCCCCCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P12,CCCCCCCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
2A1P13,CCCCCCCCCCCCCOP1(=O)OCCO1,CCCCCCN,CCCCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCC)
